id;placed_date;status;code;invoice_id;customer
1;2020-06-29T15:04:09;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2020-06-29T19:55:01;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2020-06-29T16:57:46;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2020-06-29T14:09:02;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2020-06-29T21:33:05;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2020-06-29T15:58:58;COMPLETED;input Handmade Metal Table;17515;Human
7;2020-06-29T01:32:03;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2020-06-29T00:36:54;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2020-06-29T14:10:28;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2020-06-29T09:38:09;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
